Country ISO3,Year,Indicator Code,Value
#country+code,#date+year,#indicator+code,#indicator+value+num
NGA,2003,BX.GSR.TOTL.CD,27530353301.8863
NGA,2002,BX.GSR.TOTL.CD,18321010044.7297
NGA,2001,BX.GSR.TOTL.CD,19843883800.6406
NGA,2000,BX.GSR.TOTL.CD,21183082283.3768
NGA,1999,BX.GSR.TOTL.CD,14095590011.0572
NGA,1998,BX.GSR.TOTL.CD,2902933764.95838
NGA,1997,BX.GSR.TOTL.CD,4957401154.76993
NGA,1996,BX.GSR.TOTL.CD,5315486771.3777
NGA,1995,BX.GSR.TOTL.CD,3871863339.27174
NGA,1994,BX.GSR.TOTL.CD,9878568830.69649
NGA,1993,BX.GSR.TOTL.CD,11130361950.4201
NGA,1992,BX.GSR.TOTL.CD,12999650512.8315
NGA,1991,BX.GSR.TOTL.CD,13351068427.9148
NGA,1990,BX.GSR.TOTL.CD,14761462726.4222
NGA,1989,BX.GSR.TOTL.CD,8575325520.87754
NGA,1988,BX.GSR.TOTL.CD,7279533315.2106
NGA,1987,BX.GSR.TOTL.CD,7829857469.91272
NGA,1986,BX.GSR.TOTL.CD,5391208880.15253
NGA,1985,BX.GSR.TOTL.CD,13510125461.4212
NGA,1984,BX.GSR.TOTL.CD,12346589820.05
NGA,1983,BX.GSR.TOTL.CD,10865396139.337
NGA,1982,BX.GSR.TOTL.CD,12882700899.9871
NGA,1981,BX.GSR.TOTL.CD,19471978008.7727
NGA,1980,BX.GSR.TOTL.CD,27758833976.0955
NGA,1979,BX.GSR.TOTL.CD,18022958772.1739
NGA,1978,BX.GSR.TOTL.CD,11607626444.3584
NGA,1977,BX.GSR.TOTL.CD,13286778172.1198
